URL,Last Updated,Active
https://www.reddit.com/r/cybersecurity/comments/w8wbjm/41_cybersecurity_podcasts>,Unknown,Unknown
https://www.reddit.com/r/cybersecurity/>,Unknown,Unknown
https://podcasts.apple.com/us/podcast/adopting-zero-trust/id1633461773>,Unknown,Unknown
https://podcastindex.org/podcast/5573682>,Unknown,Unknown
https://securityweekly.com/>,Unknown,Unknown
https://securityweekly.com/category-shows/paul-security-weekly/>,Unknown,Unknown
https://podcastindex.org/podcast/977160>,Unknown,Unknown
https://securityweekly.com/category-shows/enterprise-security-weekly/>,Unknown,Unknown
https://podcastindex.org/podcast/787162>,Unknown,Unknown
https://securityweekly.com/category-shows/application-security-weekly/>,Unknown,Unknown
https://podcastindex.org/podcast/436683>,Unknown,Unknown
https://securityweekly.com/category-shows/security-weekly-news/>,Unknown,Unknown
https://podcastindex.org/podcast/760301>,Unknown,Unknown
https://www.smashingsecurity.com/>,2024-05-08,No
https://podcastindex.org/podcast/453614>,Unknown,Unknown
https://darknetdiaries.com/episode/>,Unknown,Unknown
https://podcastindex.org/podcast/577105>,Unknown,Unknown
https://thecyberwire.com/podcasts/daily-podcast>,Unknown,Unknown
https://podcastindex.org/podcast/454880>,Unknown,Unknown
https://delinea.com/events/podcasts>,Unknown,Unknown
https://podcastindex.org/podcast/1193578>,Unknown,Unknown
https://infosec.exchange/@SGgrc>>,Unknown,Unknown
https://twit.social/@leo>,Unknown,Unknown
https://twit.tv/shows/security-now>,Unknown,Unknown
https://podcastindex.org/podcast/202764>,Unknown,Unknown
https://www.social-engineer.org/podcasts/>,Unknown,Unknown
https://risky.biz/>,Unknown,Unknown
https://podcastindex.org/podcast/548735>,Unknown,Unknown
https://malicious.life/>,Unknown,Unknown
https://podcastindex.org/podcast/460150>,Unknown,Unknown
https://hachyderm.io/@bittner>,Unknown,Unknown
https://thecyberwire.com/podcasts/hacking-humans>,Unknown,Unknown
https://podcastindex.org/podcast/1021915>,Unknown,Unknown
https://www.secplicity.org/category/the-443/>,Unknown,Unknown
https://opensourcesecurity.io/category/podcast/>,Unknown,Unknown
https://podcastindex.org/podcast/518991>,Unknown,Unknown
https://hackervalley.com/show/hackervalley/>,Unknown,Unknown
https://podcastindex.org/podcast/344898>,Unknown,Unknown
https://cybersecuritysauna.libsyn.com/>,2024-11-17,Yes
https://podcastindex.org/podcast/408993?episode=17888545940>,Unknown,Unknown
https://isc.sans.edu/podcast/>,Unknown,Unknown
https://defragthis.libsyn.com/>,2024-11-17,Yes
https://www.infosecinstitute.com/podcast/>,Unknown,Unknown
https://www.youtube.com/c/SharedSecurityPodcast/>,Unknown,Unknown
https://www.tf7radio.com/>,Unknown,Unknown
https://www.youtube.com/monicatalkscyber>,Unknown,Unknown
https://monicatalkscyber.com/podcasts>,Unknown,Unknown
https://secure-anchor.com/podcast/>,Unknown,Unknown
https://secure-anchor.com/podcast/>,Unknown,Unknown
https://therecord.media/podcast/>,Unknown,Unknown
https://www.tenable.com/podcast/hacker-chronicles>,2024-11-17,Yes
https://www.simplycyber.io/podcast>,Unknown,Unknown
https://www.beyondtrust.com/podcast>,Unknown,Unknown
https://hashtagrealtalk.buzzsprout.com/>,Unknown,Unknown
https://www.youtube.com/c/CSAWestMichigan>,Unknown,Unknown
https://podcasts.apple.com/us/podcast/defensive-security-podcast-malware-hacking-cyber-security/id585914973>,Unknown,Unknown
https://podcasts.apple.com/us/podcast/2-cyber-chicks/id1612548862>,Unknown,Unknown
https://thehauntedhacker.com/podcasts>,Unknown,Unknown
https://thecyberwire.com/podcasts/8th-layer-insights>,Unknown,Unknown
https://whattheshellpod.com/>,Unknown,Unknown
https://7minsec.com/projects/podcast/>,Unknown,Unknown
https://www.lawfareblog.com/topic/cyberlaw-podcast>,Unknown,Unknown
https://soundcloud.com/owasp-podcast>,Unknown,Unknown
https://podcastindex.org/podcast/503232>,Unknown,Unknown
